id,name_ch,name_jp,name_en,description
243,苹野果,ヒメリのみ,Leppa Berry,让宝可梦携带后，可以回复１０ＰＰ。
244,橙橙果,オレンのみ,Oran Berry,让宝可梦携带后，可以回复１０ＨＰ。
245,柿仔果,キーのみ,Persim Berry,让宝可梦携带后，可以治愈混乱。
246,木子果,ラムのみ,Lum Berry,让宝可梦携带后，可以治愈所有异常状态。
247,文柚果,オボンのみ,Sitrus Berry,让宝可梦携带后，可以回复少量ＨＰ。
248,勿花果,フィラのみ,Figy Berry,让宝可梦携带后，危机时可以回复ＨＰ。如果讨厌这味道就会混乱。
249,异奇果,ウイのみ,Wiki Berry,让宝可梦携带后，危机时可以回复ＨＰ。如果讨厌这味道就会混乱。
250,芒芒果,マゴのみ,Mago Berry,让宝可梦携带后，危机时可以回复ＨＰ。如果讨厌这味道就会混乱。
251,乐芭果,バンジのみ,Aguav Berry,让宝可梦携带后，危机时可以回复ＨＰ。如果讨厌这味道就会混乱。
252,芭亚果,イアのみ,Iapapa Berry,让宝可梦携带后，危机时可以回复ＨＰ。如果讨厌这味道就会混乱。
253,榴石果,ザロクのみ,Pomeg Berry,如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但ＨＰ的基础点数会降低。
254,藻根果,ネコブのみ,Kelpsy Berry,如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但攻击的基础点数会降低。
255,比巴果,タポルのみ,Qualot Berry,如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但防御的基础点数会降低。
256,哈密果,ロメのみ,Hondew Berry,如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但特攻的基础点数会降低。
257,萄葡果,ウブのみ,Grepa Berry,如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但特防的基础点数会降低。
258,茄番果,マトマのみ,Tamato Berry,如果把它交给宝可梦，宝可梦就会变得非常容易和训练家亲密，但速度的基础点数会降低。
259,枝荔果,チイラのみ,Liechi Berry,让宝可梦携带后，危机时，自己的攻击就会提高。
260,龙睛果,リュガのみ,Ganlon Berry,让宝可梦携带后，危机时，自己的防御就会提高。
261,沙鳞果,カムラのみ,Salac Berry,让宝可梦携带后，危机时，自己的速度就会提高。
262,龙火果,ヤタピのみ,Petaya Berry,让宝可梦携带后，危机时，自己的特攻就会提高。
263,杏仔果,ズアのみ,Apicot Berry,让宝可梦携带后，危机时，自己的特防就会提高。
264,兰萨果,サンのみ,Lansat Berry,让宝可梦携带后，危机时，攻击会变得容易击中要害。
265,星桃果,スターのみ,Starf Berry,让宝可梦携带后，危机时，某一项能力就会大幅提高。
266,谜芝果,ナゾのみ,Enigma Berry,让宝可梦携带后，在受到效果绝佳的招式攻击时，可以回复ＨＰ。
267,巧可果,オッカのみ,Occa Berry,让宝可梦携带后，在受到效果绝佳的火属性招式攻击时，能令其威力减弱。
268,千香果,イトケのみ,Passho Berry,让宝可梦携带后，在受到效果绝佳的水属性招式攻击时，能令其威力减弱。
269,烛木果,ソクノのみ,Wacan Berry,让宝可梦携带后，在受到效果绝佳的电属性招式攻击时，能令其威力减弱。
270,罗子果,リンドのみ,Rindo Berry,让宝可梦携带后，在受到效果绝佳的草属性招式攻击时，能令其威力减弱。
271,番荔果,ヤチェのみ,Yache Berry,让宝可梦携带后，在受到效果绝佳的冰属性招式攻击时，能令其威力减弱。
272,莲蒲果,ヨプのみ,Chople Berry,让宝可梦携带后，在受到效果绝佳的格斗属性招式攻击时，能令其威力减弱。
273,通通果,ビアーのみ,Kebia Berry,让宝可梦携带后，在受到效果绝佳的毒属性招式攻击时，能令其威力减弱。
274,腰木果,シュカのみ,Shuca Berry,让宝可梦携带后，在受到效果绝佳的地面属性招式攻击时，能令其威力减弱。
275,棱瓜果,バコウのみ,Coba Berry,让宝可梦携带后，在受到效果绝佳的飞行属性招式攻击时，能令其威力减弱。
276,福禄果,ウタンのみ,Payapa Berry,让宝可梦携带后，在受到效果绝佳的超能力属性招式攻击时，能令其威力减弱。
277,扁樱果,タンガのみ,Tanga Berry,让宝可梦携带后，在受到效果绝佳的虫属性招式攻击时，能令其威力减弱。
278,草蚕果,ヨロギのみ,Charti Berry,让宝可梦携带后，在受到效果绝佳的岩石属性招式攻击时，能令其威力减弱。
279,佛柑果,カシブのみ,Kasib Berry,让宝可梦携带后，在受到效果绝佳的幽灵属性招式攻击时，能令其威力减弱。
280,莓榴果,ハバンのみ,Haban Berry,让宝可梦携带后，在受到效果绝佳的龙属性招式攻击时，能令其威力减弱。
281,刺耳果,ナモのみ,Colbur Berry,让宝可梦携带后，在受到效果绝佳的恶属性招式攻击时，能令其威力减弱。
282,霹霹果,リリバのみ,Babiri Berry,让宝可梦携带后，在受到效果绝佳的钢属性招式攻击时，能令其威力减弱。
283,灯浆果,ホズのみ,Chilan Berry,让宝可梦携带后，在受到一般属性招式攻击时，能令其威力减弱。
284,奇秘果,ミクルのみ,Micle Berry,让宝可梦携带后，危机时，招式的命中率仅会提高１次。
285,释陀果,イバンのみ,Custap Berry,让宝可梦携带后，危机时，行动仅会变快１次。
286,嘉珍果,ジャポのみ,Jaboca Berry,让宝可梦携带后，在受到物理招式攻击时，能给予对手伤害。
287,雾莲果,レンブのみ,Rowap Berry,让宝可梦携带后，在受到特殊招式攻击时，能给予对手伤害。
288,洛玫果,ロゼルのみ,Roseli Berry,如果宝可梦携带了它，可以在对战中降低妖精属性招式效果絕佳的效果。
289,亚开果,アッキのみ,Kee Berry,如果宝可梦携带了它，可以在对战中受到物理招式攻击时，防御提升１级。
290,香罗果,タラプのみ,Maranga Berry,如果宝可梦携带了它，可以在对战中受到特殊招式攻击时，特防提升１级。
